"STRLocus","Length","RepeatUnits","GC_STR","GC_Flank","GC_Diff","SequenceComplexity","Missingness","Mean_Posterior","Mean_Indel","Mean_Stutter","He","MeanHe","MinimumHe","MaximumHe","JostD","Probability"
"1:423962-423978",1,17,0,30,30,0.59,0.011494253,0.986918605,0.652437388,8.834803958,0.305113559,0.25725458,0,1,0.059428554,0.822280185
"1:425689-425699",1,11,0,45,45,0.51,0.034482759,1,1.748053408,11.69925213,0.287353864,0.23031841,0,1,0,0.879609003
"1:438759-438771",1,13,0,29,29,0.56,0.017241379,0.996666667,2.173573194,12.9988892,0.48372893,0.304752614,0,1,0.233400023,0.991999776
"1:440540-440558",4,4.75,78.94736842,60,18.94736842,0.58,0.017241379,1,1.129570216,0.038579302,0.304506364,0.333820821,0,1,0.074498061,0.464297403
"1:441919-441931",1,13,0,43,43,0.56,0.022988506,0.998764706,1.68430189,17.81381593,0.414340411,0.335436968,0,1,0.081482287,0.93908011
"1:442240-442251",3,4,33.33333333,56,22.66666667,0.6,0,1,0.559918945,0.351527775,0.443093482,0.298076553,0,1,0.314098169,0.947857354
"1:461155-461167",1,13,0,49,49,0.58,0.011494253,0.990755814,0.988233367,13.84761629,0.491568067,0.175158029,0,0.535632184,0.284416334,0.995529374
"1:462755-462770",3,5.33333,68.75,58,10.75,0.57,0.005747126,1,0.671293598,0.705076306,0.057064122,0.07569913,0,0.666666667,0.015403328,0.208349572
"1:471902-471915",3,4.66667,35.71428571,53,17.28571429,0.59,0,0.999942529,1.212488993,0.284882569,0.151152747,0.208584966,0,1,0.038387225,0.369547394
"1:473057-473070",1,14,0,46,46,0.6,0.011494253,0.995813953,1.63806063,18.88130403,0.334761322,0.125182142,0,0.549425287,0.216144491,0.946112115
"1:474586-474596",3,3.66667,36.36363636,68,31.63636364,0.57,0.051724138,1,0.579306777,0.033967887,0.146045824,0.1623829,0,1,0,0.636411314
"1:482493-482519",9,3,55.55555556,30,25.55555556,0.55,0,1,0.84822692,0.050211033,0.326622816,0.300214995,0,0.691666667,0.127669458,0.328001111
"1:500763-500775",1,13,0,45,45,0.57,0.005747126,0.998208092,1.14255516,17.79167512,0.463368732,0.147429314,0,0.529411765,0,0.995140141
"1:500873-500882",1,10,0,37,37,0.58,0.091954023,1,0.814712992,2.291142663,0.345642183,0.153526436,0,0.58974359,0,0.964199348
"1:501839-501880",9,4.66667,52.38095238,65,12.61904762,0.55,0.091954023,1,0.51222756,0.02576655,0.162541321,0.076888112,0,0.325,0.00645114,0.311779759
"1:504849-504880",3,10.6667,34.375,59,24.625,0.55,0.051724138,0.987352941,0.707634676,5.402731986,0.791928422,0.630232884,0,0.857142857,0.531752351,0.876734736
"1:509571-509602",9,3.55556,43.75,54,10.25,0.6,0.017241379,0.995146199,0.531589693,0.071537009,0.216374269,0.195835336,0,0.666666667,0.016040117,0.348968217
"1:518252-518262",3,3.66667,63.63636364,60,3.636363636,0.57,0.022988506,1,0.49415444,0.305071864,0.080125305,0.097625303,0,0.666666667,0,0.229174389
"1:518261-518273",3,4.33333,61.53846154,64,2.461538462,0.56,0.011494253,0.995639535,1.019627336,0.276550835,0.068067455,0.092908883,0,0.666666667,0,0.202778491
"1:519308-519321",1,14,0,44,44,0.57,0.051724138,0.994969697,2.693899953,19.70262657,0.320990392,0.278955255,0,0.8,0.107499252,0.684867936
"1:522815-522831",1,17,0,58,58,0.58,0.022988506,0.980529412,2.398899872,24.73816722,0.40898016,0.236589001,0,0.571428571,0.010001011,0.892404847
"1:523439-523471",3,11,33.33333333,52,18.66666667,0.57,0.022988506,0.999647059,0.963902641,2.463100788,0.731639401,0.666642958,0,1,0.510510187,0.653272969
"1:523797-523807",1,11,0,36,36,0.57,0.022988506,0.999117647,0.870298107,13.65200261,0.299825966,0.30269726,0,1,0.039583611,0.713665153
"1:534729-534739",1,11,0,60,60,0.59,0.017241379,0.993859649,1.178979847,13.59950152,0.262676299,0.221430293,0,1,0.10576669,0.809605639
"1:546018-546036",5,3.8,57.89473684,48,9.894736842,0.56,0.022988506,1,0.687086765,0.173049209,0.444413505,0.337070581,0,0.7,0.276978146,0.673148669
"1:563351-563360",1,10,100,60,40,0.56,0.034482759,0.984940476,1.447283231,18.9607457,0.287353864,0.181282881,0,1,0.216764785,0.832754473
"1:564960-564974",3,5,66.66666667,58,8.666666667,0.57,0.022988506,1,0.614766985,0.46978141,0.251444483,0.116993628,0,0.52991453,0.001915111,0.700271675
"1:565023-565053",8,3.875,48.38709677,53,4.612903226,0.6,0.017241379,0.995614035,0.738777291,0.045776542,0.034812521,0.096966155,0,1,0.041847819,0.414094154
"1:565471-565483",1,13,0,58,58,0.59,0.086206897,0.993459119,3.643074502,17.97404637,0.467956373,0.392567402,0,1,0.317778347,0.943961635
"1:570950-570969",3,6.66667,70,64,6,0.58,0.017241379,0.976491228,1.034585114,2.48574459,0.808875129,0.706673146,0,1,0.491386781,0.832510843
"1:581311-581321",3,3.66667,63.63636364,52,11.63636364,0.58,0.074712644,1,0.544251135,0.019042804,0.072204969,0.129300524,0,1,0,0.483418843
"1:585013-585029",1,17,0,46,46,0.56,0.074712644,0.953229814,3.512278163,23.79505954,0.460636646,0.407055753,0,1,0.097637943,0.771673219
"1:585784-585802",1,19,0,38,38,0.5,0.086206897,0.96427673,2.103661476,13.06306414,0.62160656,0.461535663,0,1,0.436551307,0.986178832
"1:587049-587063",1,15,0,46,46,0.57,0.086206897,0.940754717,3.084368069,32.51411575,0.468593265,0.415381217,0,1,0.187137115,0.684555391
"1:588893-588928",2,18,5.555555556,59,53.44444444,0.58,0.040229885,0.989820359,0.984048143,14.14426621,0.692085708,0.617088321,0,1,0.375701249,0.722541837
"1:589873-589904",5,6.4,37.5,62,24.5,0.59,0.005747126,0.979710983,0.930084574,0.610156225,0.783573061,0.708696171,0,1,0.348934887,0.759536455
"1:590609-590634",4,6.5,69.23076923,52,17.23076923,0.55,0.011494253,0.99494186,2.51419543,0.291207765,0.557255542,0.489774137,0,1,0.27592251,0.777319632
"1:590733-590764",9,3.55556,56.25,52,4.25,0.58,0.017241379,1,1.008940467,0.174087697,0.708290334,0.707638132,0,1,0.188821382,0.463325727
"1:595785-595799",1,15,100,60,40,0.58,0.028735632,0.979822485,1.134484084,13.41484209,0.47125951,0.450922181,0,1,0.089687906,0.706254984
"1:620967-620992",8,3.25,3.846153846,44,40.15384615,0.58,0.034482759,1,0.748028026,0.074250666,0.262974052,0.182418361,0,0.5,0,0.425330483
"1:621171-621180",1,10,100,61,39,0.59,0.011494253,0.988023256,1.277587516,15.39786641,0.576635387,0.538009053,0,1,0.150419235,0.873474889
"1:628676-628716",9,4.55556,68.29268293,68,0.292682927,0.54,0.022988506,0.974795322,1.771416817,2.578571426,0.713636364,0.559987631,0,1,0.581275664,0.941512137
"1:629982-630003",1,22,4.545454545,43,38.45454545,0.57,0.017241379,0.997017544,1.855373613,16.53116536,0.400963192,0.185771847,0,0.514285714,0.387013226,0.956810085
"1:630195-630207",1,13,0,54,54,0.58,0.034482759,0.995654762,2.046777782,19.3452927,0.400057029,0.219118225,0,0.533333333,0.07049797,0.932416168
"1:631279-631290",4,3,25,52,27,0.58,0.011494253,0.998255814,0.655895118,0.468102335,0.502855977,0.23747269,0,0.666666667,0.368951984,0.971917526
"1:645253-645272",1,20,0,53,53,0.58,0.045977011,0.937650602,2.993077853,25.72978539,0.557575758,0.365319231,0,0.666666667,0.304063971,0.915338184
"1:666080-666108",5,5.8,41.37931034,57,15.62068966,0.59,0.005747126,0.999884393,0.297389187,0.382863885,0.553905095,0.467261468,0,1,0.183562711,0.841882753
"1:666216-666231",1,16,0,32,32,0.57,0.011494253,1,1.3557178,1.415356484,0.297225622,0.216208592,0,1,0,0.929696132
"1:669108-669122",5,3,60,44,16,0.59,0.022988506,1,0.807619486,0.02372522,0.144587539,0.065411978,0,0.370114943,0,0.293000674
"1:669193-669213",7,3,0,40,40,0.58,0.005747126,1,0.231303833,0.053829085,0.139803737,0.116004893,0,0.5,0.007858743,0.200331114
"1:673341-673353",1,13,0,32,32,0.59,0.017241379,0.953157895,2.18010832,33.42366401,0.509115927,0.381184534,0,0.714285714,0.232138157,0.812580709
"1:700324-700375",6,8.66667,44.23076923,39,5.230769231,0.56,0.034482759,1,0.919223236,0.533335872,0.811167945,0.624707979,0,1,0.491379192,0.95616334
"1:711505-711522",2,9,5.555555556,41,35.44444444,0.6,0.011494253,0.999418605,0.504742053,6.541904261,0.421800626,0.318203242,0,0.6,0.074976332,0.536681392
"1:735820-735866",9,5.22222,55.31914894,64,8.680851064,0.57,0,0.995402299,0.597861353,0.433502915,0.796026842,0.74187593,0.470588235,1,0.419146479,0.865557477
"1:743059-743075",1,17,0,48,48,0.58,0.040229885,0.975688623,2.401499127,22.60596192,0.494048048,0.31776993,0,0.666666667,0.377162196,0.944464191
"1:747807-747816",1,10,0,54,54,0.57,0.017241379,1,0.740544559,5.587984397,0.32748538,0.222594245,0,1,0,0.960303126
"1:748482-748494",1,13,0,32,32,0.6,0.08045977,0.9955625,2.867825023,17.5554494,0.377358491,0.265584567,0,0.571428571,0.085957916,0.809215216
"1:749998-750068",9,7.88889,50.70422535,60,9.295774648,0.56,0.028735632,0.992426036,1.333605027,0.506288318,0.482107636,0.429727096,0,1,0.522615219,0.706966703
"1:751030-751067",9,4.22222,65.78947368,65,0.789473684,0.57,0.022988506,0.995294118,0.798516796,0.14898632,0.569091542,0.562134007,0,1,0.092229268,0.573187024
"1:752042-752075",1,34,2.941176471,55,52.05882353,0.59,0.045977011,0.979277108,1.149297501,11.02423311,0.726761592,0.572390127,0.125,1,0.229271588,0.994273459
"1:753425-753438",1,14,0,52,52,0.54,0.045977011,0.998554217,2.202746187,17.74734288,0.428258488,0.350226301,0,1,0.284007312,0.941940787
"1:754234-754263",8,3.75,60,46,14,0.56,0.091954023,0.999810127,0.84364352,0.557828474,0.76433121,0.77470949,0.522058824,1,0.345437255,0.766750504
"1:761145-761154",2,5,50,57,7,0.58,0,1,1.041491263,0.031648706,0.481363365,0.472918902,0,1,0,0.590768939
"1:772326-772347",6,3.66667,54.54545455,63,8.454545455,0.54,0.063218391,0.982822086,1.418769684,0.421570101,0.161705673,0.092746772,0,0.325,0.254061433,0.218957761
"1:774095-774128",7,4.85714,85.29411765,58,27.29411765,0.58,0.040229885,0.995508982,0.552440683,0.121995108,0.687324147,0.678661981,0.438746439,1,0.409427754,0.765591918
"1:781645-781684",8,5,52.5,67,14.5,0.55,0.097701149,0.981082803,1.728366862,3.799265831,0.739670096,0.689261598,0.352631579,1,0.348118839,0.891864965
"1:791144-791161",3,6,38.88888889,65,26.11111111,0.58,0.022988506,1,1.004549613,0.226213401,0.518830491,0.543870491,0,1,0.112413863,0.403749747
"1:799482-799498",3,5.66667,35.29411765,61,25.70588235,0.59,0.011494253,1,0.408557851,2.845115545,0.566571467,0.484977372,0,1,0.093016708,0.84020739
"1:803786-803813",8,3.5,32.14285714,61,28.85714286,0.58,0.022988506,0.992,1.775678929,0.428095541,0.195405499,0.242977982,0,1,0.06541347,0.444266669
"1:808016-808060",9,5,33.33333333,51,17.66666667,0.59,0.011494253,1,0.56073982,0.123902102,0.604039168,0.380622986,0,0.666666667,0.463813108,0.917821217
"1:810242-810253",3,4,33.33333333,55,21.66666667,0.58,0.028735632,1,1.541447913,0.121646207,0.499013807,0.217752289,0,1,0,0.997372349
"1:829608-829640",9,3.66667,63.63636364,59,4.636363636,0.58,0,1,0.412507655,0.121702007,0.181981264,0.234083825,0,1,0.068356586,0.385464333
"1:829682-829721",9,4.44444,67.5,53,14.5,0.6,0,1,1.374391072,0.179294132,0.458109096,0.364333438,0,0.666666667,0.138372246,0.56799541
"1:841371-841412",7,6,71.42857143,56,15.42857143,0.56,0.017241379,0.995321637,0.401012896,0.126925639,0.401031992,0.380877941,0,0.833333333,0.181318955,0.441969107
"1:842646-842660",3,5,66.66666667,35,31.66666667,0.57,0.074712644,0.994596273,1.024698741,0.562937259,0.380201863,0.384297605,0,1,0.21132193,0.600377806
"1:842968-842992",1,25,8,50,42,0.58,0.040229885,0.987125749,2.010629776,17.07907923,0.481494842,0.322297068,0,1,0.303994502,0.982539819
"1:858210-858224",1,15,0,46,46,0.59,0.017241379,0.989181287,1.525249577,19.79668439,0.293016856,0.157310916,0,0.571428571,0.129872872,0.781801208
"1:873640-873667",5,5.6,53.57142857,59,5.428571429,0.59,0.034482759,1,1.005824878,2.10506307,0.466943579,0.379824022,0,0.714285714,0.433919806,0.553926645
"1:875754-875789",1,36,0,40,40,0.59,0.017241379,0.959239766,2.978692878,22.66050364,0.525490196,0.470081924,0,1,0.267892229,0.802112264
"1:876781-876790",1,10,100,44,56,0.6,0.017241379,0.999649123,0.565484002,6.573938051,0.684416925,0.353378044,0,0.833333333,0.537993529,0.998964198
"1:879276-879285",1,10,100,48,52,0.6,0.063218391,0.991533742,1.294519576,11.13309977,0.773384837,0.593660971,0,0.833333333,0.420709785,0.988556877
"1:881051-881066",1,16,0,44,44,0.6,0.022988506,0.921117647,2.901051365,20.52737638,0.615315002,0.502269509,0,1,0.327825699,0.906671886
"1:882387-882396",2,5,0,38,38,0.58,0.005747126,1,0.884831649,0.227505739,0.196666219,0.10427666,0,0.5,0,0.465022412
"1:885995-886004",2,5,0,48,48,0.58,0.103448276,1,5.176024006,0.053564024,0.074441687,0.081519743,0,0.666666667,0,0.327455497
"1:888442-888457",5,3.2,0,51,51,0.57,0.005747126,1,0.481604673,0.004042201,0.398037371,0.289861591,0,0.666666667,0,0.694706628
"1:891694-891707",1,14,0,41,41,0.57,0.005747126,0.997861272,1.649693716,21.84664528,0.306291168,0.229178843,0,0.833333333,0.04508111,0.810819585
"1:895926-895939",1,14,0,34,34,0.59,0.005747126,0.99982659,1.528530638,18.36134599,0.427476811,0.271942375,0,0.666666667,0.147777042,0.945885695
"1:901172-901195",8,3,54.16666667,49,5.166666667,0.6,0,1,0.315229816,0.02119044,0.129160853,0.047199311,0,0.485294118,0.075022044,0.409669189
"1:902461-902470",1,10,0,35,35,0.56,0.028735632,1,0.74305593,5.548937197,0.433079741,0.362626892,0,0.666666667,0.154646903,0.855418903
"10:1040859-1040889",9,3.44444,29.03225806,59,29.96774194,0.56,0.08045977,1,3.070036075,0.043553381,0.262893082,0.198638134,0,0.533333333,0.126034421,0.403649121
"10:1043105-1043114",3,3.33333,100,70,30,0.58,0.040229885,1,2.793801286,0,0.296515403,0.26838843,0,1,0.01430439,0.768603837
"10:1049599-1049638",9,4.44444,47.5,50,2.5,0.53,0.011494253,0.995348837,1.018633806,0.02768388,0.163538692,0.202457792,0,1,0.060176359,0.47333618
"10:1049634-1049644",3,3.66667,63.63636364,46,17.63636364,0.43,0.08045977,1,1.038320127,0.08212291,0.072641509,0.133917794,0,1,0.062574681,0.454360626
"10:1053374-1053444",8,8.875,66.1971831,63,3.197183099,0.58,0.022988506,0.995146199,0.847175094,0.436335654,0.385499146,0.310432777,0,1,0.480308032,0.80598017
"10:1060377-1060397",1,21,4.761904762,41,36.23809524,0.59,0.028735632,0.946804734,2.856228322,27.03753504,0.602071006,0.585570957,0,1,0.294326554,0.715883777
"10:1074002-1074044",9,4.77778,67.44186047,65,2.441860465,0.59,0.040229885,0.996686391,0.838793466,0.587064162,0.039405941,0.125,0,1,0.501137107,0.23646109
"10:1082867-1082887",6,3.5,85.71428571,75,10.71428571,0.57,0.045977011,1,1.014748282,0.071283545,0.51120847,0.264745578,0,1,0.171172209,0.994283604
"10:1092194-1092203",3,3.33333,40,50,10,0.55,0.022988506,1,0.539559077,0.012231357,0.199721545,0.197410076,0,1,0.000703655,0.680780399
"10:1092670-1092680",3,3.66667,63.63636364,56,7.636363636,0.49,0.045977011,1,1.562087495,0.333570773,0.267615918,0.20213877,0,0.666666667,0,0.571180557
"10:1109713-1109729",5,3.4,41.17647059,43,1.823529412,0.6,0.005747126,1,0.258751364,0.475983927,0.721333513,0.610921997,0,1,0.262198108,0.872620273
"10:1123390-1123404",5,3,80,64,16,0.58,0.022988506,1,0.49650441,0.008650519,0.04622346,0.069680471,0,0.666666667,0,0.219677462
"10:1134513-1134528",1,16,0,55,55,0.6,0.057471264,0.942560976,2.726009577,22.70745113,0.482118809,0.455177849,0,1,0.213113459,0.659276952
"10:1134681-1134691",2,5.5,54.54545455,58,3.454545455,0.6,0.028735632,1,0.471420406,0.413690986,0.30896027,0.147043746,0,0.516290727,0.140046577,0.757110551
"10:1139115-1139125",1,11,100,65,35,0.57,0.068965517,0.98845679,1.833522701,12.76094135,0.471052833,0.471950104,0,1,0.311920658,0.719166995
"10:1142187-1142218",9,3.55556,25,58,33,0.6,0.022988506,1,0.416707718,0,0.162826314,0.092345713,0,0.467980296,0.027502377,0.351352538
"10:1146970-1146982",3,4.33333,69.23076923,56,13.23076923,0.57,0.022988506,1,1.650804304,0.059513982,0.268778281,0.343772137,0,1,0.143054746,0.26224688
"10:1151464-1151500",9,4.11111,62.16216216,68,5.837837838,0.57,0.063218391,0.982865854,0.716606111,0.10540793,0.219101124,0.140850823,0,0.476190476,0.137870097,0.427712248
"10:1153880-1153891",4,3,50,59,9,0.59,0.017241379,1,0.412110641,0,0.39869281,0.351902275,0,1,0,0.7973163
"10:1165790-1165801",1,12,0,47,47,0.57,0.011494253,0.998313953,1.590190725,15.48956234,0.225826193,0.113671326,0,0.476190476,0.022675202,0.640301224
"10:1189064-1189083",3,6.66667,40,53,13,0.53,0.045977011,0.999759036,1.010216847,1.893264359,0.566849215,0.447539985,0,1,0.215178583,0.917900869
"10:1191713-1191740",6,4.66667,50,37,13,0.58,0,0.995057471,0.725909038,0.714444825,0.837751644,0.833340923,0.330882353,1,0.513495172,0.587217484
"10:1203081-1203113",9,3.66667,51.51515152,54,2.484848485,0.56,0.034482759,1,0.774828702,0.03232067,0.134873111,0.100413223,0,1,0.355892653,0.770046805
"10:1203985-1204001",1,17,0,32,32,0.57,0.034482759,1,0.700744436,2.116725877,0.352152837,0.115700694,0,0.5,0.001873402,0.974449261
"10:1204482-1204508",1,27,3.703703704,42,38.2962963,0.56,0.051724138,0.989272727,2.783196762,21.23742346,0.389652624,0.400535127,0,1,0.228465759,0.632118904
"10:1212957-1212986",8,3.75,53.33333333,39,14.33333333,0.54,0.086206897,1,9.072961609,0.209988347,0.340608229,0.362227522,0,1,0.304172693,0.515119554
"10:1214887-1214900",1,14,0,59,59,0.57,0.057471264,0.994390244,2.747077321,19.47777367,0.410070328,0.294392525,0,0.733333333,0.05381491,0.904001942
"10:1251772-1251822",5,10.2,0,51,51,0.61,0.074712644,0.980310559,1.571479961,0.208009431,0.711568323,0.511327767,0,0.733333333,0.396943532,0.923080467
"10:1252829-1252842",1,14,0,41,41,0.57,0.017241379,0.995146199,1.927150528,19.94677132,0.429033368,0.230946442,0,0.666666667,0.408473023,0.970013906
"10:1253801-1253819",1,19,0,42,42,0.6,0.028735632,0.962071006,2.350676895,30.76246989,0.547759932,0.546498423,0.220588235,1,0.299932068,0.771790202
"10:1279954-1279976",1,23,4.347826087,48,43.65217391,0.59,0.074712644,0.945279503,2.789974584,24.24438854,0.495496894,0.467261324,0,1,0.249230393,0.658911671
"10:1280207-1280222",1,16,0,45,45,0.57,0.040229885,0.955508982,3.233212846,20.23757439,0.54476589,0.283742913,0,0.617647059,0.377911098,0.980865381
"10:1299223-1299266",8,5.5,36.36363636,45,8.636363636,0.6,0.011494253,1,0.439616294,0.029104247,0.595131239,0.495738192,0,1,0.047304266,0.883162427
"10:1308292-1308301",2,5,50,46,4,0.6,0.051724138,1,0.618209799,0.663124642,0.682187731,0.511692146,0,1,0.319762129,0.963056932
"10:1319689-1319703",1,15,0,33,33,0.57,0.028735632,0.998579882,3.117445957,18.49099416,0.33974359,0.170150863,0,0.517241379,0.144632496,0.890863336
