"STRLocus","Length","RepeatUnits","GC_STR","GC_Flank","GC_Diff","SequenceComplexity","Missingness","Mean_Posterior","Mean_Indel","Mean_Stutter","He","MeanHe","MinimumHe","MaximumHe","JostD","Probability"
"1:282011-282033",6,3.83333,17.39130435,28,10.60869565,0.56,0.010173942,1,0.663265566,0.147316873,0.360403333,0.367170974,0.219135802,0.640860215,0.059476042,0.999434832
"1:286059-286071",1,13,0,12,12,0.53,0.026911716,0.992954469,2.119171199,14.01142108,0.059278401,0.079223106,0,0.242778319,0.003807796,0.627047192
"1:287355-287369",1,15,0,21,21,0.57,0.012471283,0.998258558,1.921281539,15.78623822,0.072502572,0.064745397,0,0.179435484,0.002034516,0.880913631
"1:295347-295362",1,16,0,34,34,0.58,0.063997374,0.976307854,4.233734811,26.66465269,0.269996306,0.225198909,0.105608283,0.323193982,0.00570207,0.996931957
"1:301332-301341",1,10,0,16,16,0.55,0.030850016,0.999498815,0.873808616,5.436994939,0.038040411,0.085465649,0,0.47311828,0.031671859,0.966593914
"1:301587-301597",1,11,0,13,13,0.53,0.023301608,0.997053091,1.163745891,6.512699432,0.472768817,0.346838654,0.049983772,0.516129032,0.239875174,1
"1:304526-304570",6,7.5,15.55555556,17,1.444444444,0.54,0.007220217,0.995957025,0.570931107,0.322094307,0.656949582,0.550597017,0.163061109,0.742729436,0.392337958,0.999724212
"1:309257-309271",1,15,0,20,20,0.57,0.03741385,0.995850665,2.467504418,20.19465201,0.356351421,0.313893598,0.124731183,0.389276421,0.008775676,0.999981874
"1:309748-309760",1,13,0,14,14,0.54,0.004266492,0.996558998,1.266818049,11.57834992,0.068543973,0.060169161,0,0.134198306,0.00119293,0.715913302
"1:310438-310454",2,8.5,5.882352941,11,5.117647059,0.55,0.048244175,0.990210345,0.360562548,0.673437833,0.265038123,0.22470549,0.025316456,0.423139519,0.036723794,0.999440135
"1:313194-313207",2,7,0,12,12,0.52,0.062028224,0.999142757,2.53886811,1.637313042,0.050754252,0.093511289,0,0.425806452,0.020408326,0.997707506
"1:315519-315543",3,8.33333,0,20,20,0.58,0.004922875,1,0.316397871,1.336531619,0.421190138,0.410046185,0.354137449,0.502469136,0.038284805,0.96591368
"1:318037-318050",3,4.66667,0,14,14,0.31,0.03347555,0.946203735,0.237423205,0.830188867,0.448029315,0.44423553,0.342169914,0.509234756,0.062244863,0.840058653
"1:318205-318218",3,4.66667,0,17,17,0.43,0.031178208,1,0.235136073,0.107067841,0.066109371,0.070712467,0,0.23908046,0.003639072,0.959969148
"1:319379-319389",1,11,0,20,20,0.55,0.026911716,0.999618887,1.325087935,7.358136887,0.091471577,0.095663201,0.020408163,0.256157635,0.00262517,0.95114701
"1:320093-320105",1,13,0,20,20,0.53,0.016409583,0.999642976,1.155456765,11.43604893,0.186891164,0.211388414,0.019226649,0.383202688,0.016979943,0.998133744
"1:320630-320654",3,8.33333,0,22,22,0.54,0.005579258,0.999970297,0.416597926,2.92338434,0.690972306,0.629561416,0.415740741,0.717837564,0.11694066,0.998714857
"1:323334-323348",3,5,33.33333333,19,14.33333333,0.56,0.008861175,1,0.214497889,0.190855249,0.356496932,0.240624569,0.009650011,0.504370304,0.122719388,0.999995863
"1:333519-333556",2,19,2.631578947,21,18.36842105,0.58,0.005251067,0.992735071,0.465271143,4.47873233,0.654937919,0.554714918,0.12688172,0.744238883,0.276639176,0.999966568
"1:333716-333730",2,7.5,0,14,14,0.51,0.007220217,0.997616529,0.533965112,3.792448268,0.160358783,0.187937381,0,0.511827957,0.05321401,0.999132668
"1:335854-335863",1,10,0,6,6,0.5,0.057761733,0.990846395,0.750985364,2.33330812,0.252221118,0.119252976,0,0.4836009,0.035614989,0.999999912
"1:340012-340025",3,4.66667,28.57142857,26,2.571428571,0.56,0.006235642,1,0.230155859,0.454386874,0.078653414,0.052045468,0,0.126411575,0.000758658,0.880145527
"1:340024-340037",3,4.66667,0,30,30,0.58,0.00984575,1,0.239470237,0.469244021,0.174106456,0.179429078,0.025,0.358342665,0.008521615,0.990085564
"1:340100-340122",3,7.66667,0,27,27,0.59,0.008532983,0.999980139,0.2909787,2.769592664,0.515923195,0.34316621,0.12688172,0.522177419,0.285956286,0.999985655
"1:343254-343297",3,14.6667,11.36363636,29,17.63636364,0.57,0.0118149,0.99996692,0.281341456,0.780568959,0.039282321,0.080704651,0,0.494708995,0.039852778,0.99985488
"1:344366-344384",1,19,5.263157895,17,11.73684211,0.52,0.059730883,0.998680628,5.293569802,17.64783487,0.062402381,0.065331995,0,0.133004926,0.001420051,0.652320965
"1:345405-345418",1,14,0,26,26,0.55,0.072530358,0.998895966,2.359145123,16.72033772,0.031409729,0.038619561,0,0.193153153,0.002426472,0.676412161
"1:346344-346362",2,9.5,0,18,18,0.58,0.015096817,0.996601133,0.754878819,4.037557681,0.519339109,0.513362876,0.409069659,0.623655914,0.041851507,0.986635051
"1:350016-350031",1,16,0,23,23,0.56,0.040367575,0.992178523,3.043978634,20.44910735,0.228959154,0.156842108,0.031783329,0.462310093,0.02778694,0.999992999
"1:351780-351794",1,15,0,15,15,0.55,0.049885133,0.99853886,2.52536304,14.75615987,0.117844674,0.101571379,0,0.25090686,0.004534077,0.991027318
"1:354909-354945",3,12.3333,5.405405405,23,17.59459459,0.57,0.002625533,0.999986838,0.320962313,1.937879649,0.663629347,0.592383591,0.455913978,0.692259488,0.191977363,0.997838981
"1:356303-356321",2,9.5,0,9,9,0.52,0.0196915,0.99398393,0.807317349,1.406322886,0.186659046,0.15482722,0,0.358366191,0.019040117,0.998926876
"1:357340-357354",1,15,0,18,18,0.54,0.0551362,0.985675582,3.17288026,19.29737068,0.091350439,0.073386961,0,0.141720408,0.000963625,0.654527035
"1:360097-360111",1,15,0,31,31,0.55,0.051526091,0.992930796,3.929743979,19.00692878,0.079822642,0.0958028,0,0.23908046,0.003824755,0.804784531
"1:360714-360726",1,13,0,17,17,0.57,0.046603216,0.996695353,3.616039237,16.08000915,0.424630043,0.41426258,0.235955056,0.541871921,0.08840437,0.999987315
"1:365032-365052",2,10.5,0,18,18,0.52,0.012799475,0.997270612,1.484128887,11.54692399,0.599389324,0.483997611,0.049074074,0.663722761,0.24187423,0.999959999
"1:365265-365276",1,12,0,17,17,0.54,0.078765999,0.968949056,1.488418167,7.031097945,0.140788696,0.14524891,0,0.245977011,0.004685961,0.607199862
"1:365445-365460",2,8,0,22,22,0.58,0.012799475,0.992077793,0.633365105,8.515176866,0.509530731,0.509953166,0.246547028,0.639525166,0.099467713,0.983780031
"1:365853-365874",2,11,4.545454545,27,22.45454545,0.57,0.036429275,1,0.431430442,3.260363529,0.145113471,0.204456606,0,0.517241379,0.065378991,0.995812379
"1:369046-369057",1,12,0,16,16,0.56,0.012799475,0.999734043,1.847108656,11.20765682,0.120256856,0.077794044,0,0.234032996,0.006151974,0.997090466
"1:373677-373699",6,3.83333,0,28,28,0.58,0.00590745,1,0.227525527,0.181060562,0.143024519,0.158232297,0.049683544,0.361290323,0.008171659,0.985860314
"1:375495-375511",2,8.5,0,18,18,0.57,0.004594683,0.998621827,0.715439596,4.037331498,0.462131592,0.408155327,0.180246914,0.517575758,0.024060116,0.999018948
"1:380634-380647",1,14,0,16,16,0.53,0.053495241,0.999469487,1.861178654,16.1371213,0.098839243,0.098546379,0.027100271,0.138221769,0.000997105,0.773610034
"1:382496-382517",6,3.66667,0,15,15,0.5,0.038726616,0.999177194,3.846993581,0.133486599,0.26452593,0.201836139,0,0.432240545,0.024571267,0.999912623
"1:384697-384713",1,17,5.882352941,26,20.11764706,0.57,0.018050542,0.999247995,0.612049982,0.928853339,0.045355094,0.041903322,0,0.143856144,0.001225883,0.761678076
"1:387052-387083",1,32,0,27,27,0.56,0.097472924,0.955527909,3.672968868,23.55723163,0.64940957,0.608097488,0.5,0.718583438,0.041245741,0.999977648
"1:390182-390229",9,5.33333,20.83333333,26,5.166666667,0.57,0.05316705,0.999042695,0.305403236,0.125378233,0.560758575,0.452886029,0.24627193,0.672364346,0.193304941,0.999973654
"1:405509-405525",4,4.25,0,11,11,0.52,0.074499508,0.992822695,1.051503648,0.101043226,0.056227625,0.039845436,0,0.137961418,0.001427301,0.840884948
"1:413615-413628",1,14,0,16,16,0.53,0.056777158,0.991896312,3.715622212,14.33268843,0.086690545,0.153750691,0.046464086,0.467980296,0.029212307,0.818947638
"1:415100-415116",1,17,0,32,32,0.57,0.089268133,0.994234234,3.362074207,26.61860934,0.179832031,0.132156358,0,0.284618347,0.004530357,0.999576166
"1:416258-416275",2,9,0,17,17,0.54,0.031178208,0.98523374,0.819641647,4.590450447,0.547714752,0.500310446,0.199372447,0.692473118,0.266829282,0.998156906
"1:419889-419921",2,16.5,3.03030303,10,6.96969697,0.54,0.01378405,0.999171381,1.588567019,0.657758055,0.214227287,0.123346221,0,0.514992184,0.020229177,0.999999843
"1:419959-419976",1,18,0,15,15,0.55,0.082047916,0.977811941,3.901888012,20.91667432,0.121329925,0.137921823,0.054414003,0.387096774,0.004930069,0.810349964
"1:421377-421400",4,6,0,20,20,0.55,0.004922875,0.999706464,0.298602989,0.312773327,0.061267736,0.091460298,0,0.289506173,0.00815732,0.948259245
"1:421523-421536",1,14,0,23,23,0.55,0.024614375,0.999451548,1.660391231,17.15982718,0.062660677,0.070431116,0,0.196617601,0.002246473,0.807807552
"1:424960-424992",3,11,0,26,26,0.55,0.00590745,0.999613734,0.469617289,4.113481263,0.755763856,0.719847591,0.55483871,0.845656566,0.198245862,0.996724638
"1:429235-429251",2,8.5,0,19,19,0.56,0.0118149,0.999365659,2.038642437,6.528310907,0.392189877,0.385503778,0.081871345,0.629560915,0.060369837,0.999673448
"1:430365-430376",2,6,0,16,16,0.55,0.011158517,1,0.325428345,0.347230851,0.223470539,0.186621506,0,0.33470756,0.008478941,0.997428827
"1:435849-435875",2,13.5,0,24,24,0.55,0.071545783,0.99921527,0.475276241,6.667815118,0.560920363,0.510537834,0.288218111,0.617575758,0.055042326,0.999096979
"1:436014-436038",1,25,4,16,12,0.55,0.092878241,0.983959732,5.025863516,17.8892553,0.414421131,0.368067962,0.262108262,0.491012074,0.009468259,0.999957816
"1:438825-438838",2,7,0,27,27,0.57,0.002953725,0.999730086,0.36978446,4.446863971,0.066813232,0.05057346,0,0.148760659,0.001363237,0.892766227
"1:441477-441491",1,15,0,13,13,0.53,0.03347555,0.996444822,4.380112676,18.523739,0.205738355,0.178010318,0,0.342026996,0.013420677,0.999771418
"1:441638-441656",2,9.5,0,9,9,0.52,0.016409583,0.991745078,0.580228041,3.207332387,0.557860486,0.541967974,0.451612903,0.626130865,0.042727688,0.981929907
"1:447214-447255",4,10.5,2.380952381,18,15.61904762,0.55,0.098785691,0.985770308,1.643789132,0.924470983,0.808090722,0.762525465,0.566501113,0.851073645,0.364143531,0.949919219
"1:448205-448228",2,12,0,21,21,0.54,0.0118149,0.997562272,0.999481751,9.793348832,0.596622793,0.562343765,0.392429341,0.70168509,0.077640156,0.998629096
"1:451069-451078",1,10,0,7,7,0.53,0.085329833,0.990322928,1.418232654,4.430954831,0.450832253,0.388079368,0.154531375,0.551802328,0.223174732,0.999999827
"1:451521-451555",4,8.75,0,7,7,0.5,0.008204792,0.994189279,1.994469009,0.095920803,0.075392613,0.107881884,0,0.361290323,0.012818091,0.988215931
"1:455455-455483",2,14.5,0,21,21,0.56,0.006235642,0.993414795,0.789806242,7.98716469,0.103326338,0.126331904,0.025,0.307163756,0.005220084,0.959818413
"1:456107-456129",2,11.5,0,13,13,0.54,0.007220217,0.995180165,1.453442108,9.202150283,0.401793913,0.371780715,0.13168762,0.606451613,0.121372934,0.999502376
"1:470789-470810",2,11,0,9,9,0.53,0.00590745,0.996827336,0.881481421,6.556947068,0.329078485,0.285321084,0.095987654,0.5625,0.033651009,0.999962975
"1:472793-472822",2,15,3.333333333,16,12.66666667,0.54,0.023957991,0.998843309,0.734429911,6.054679722,0.435297638,0.294765032,0.171850512,0.474630619,0.10978866,0.999988747
"1:473041-473055",1,15,0,14,14,0.52,0.050541516,0.997552713,3.82447733,18.50702296,0.048855945,0.076776677,0.020833333,0.322580645,0.008519901,0.793623914
"1:481073-481097",2,12.5,4,11,7,0.51,0.016081392,0.99859573,1.891266736,7.299538523,0.385602191,0.360985675,0.171578947,0.614869321,0.036699784,0.999874067
"1:481136-481150",1,15,0,9,9,0.49,0.052510666,0.99201247,4.601248162,16.26220914,0.2798573,0.173440945,0.052612613,0.500569879,0.045996867,0.999999629
"1:481228-481239",1,12,0,15,15,0.54,0.003610108,0.998939394,1.010976897,9.124673902,0.280171169,0.154111787,0,0.49729049,0.052330006,0.999999981
"1:481633-481643",1,11,0,14,14,0.52,0.007548408,0.999441138,0.928272599,6.804803783,0.206731636,0.193225801,0,0.395061728,0.015367956,0.999887607
"1:482490-482499",1,10,0,15,15,0.51,0.020347883,0.999681742,0.930499325,4.914933652,0.314563883,0.297264648,0.041294996,0.501788344,0.163386517,0.999997309
"1:484182-484197",1,16,0,26,26,0.55,0.0433213,0.986946827,4.058812279,21.2311329,0.484257815,0.365736145,0.189224278,0.529219948,0.066329857,0.999999974
"1:484612-484633",2,11,0,19,19,0.55,0.036757466,0.997199319,1.211904962,13.05179652,0.604433714,0.623010361,0.403165141,0.773892774,0.161530114,0.962641071
"1:485421-485436",1,16,0,16,16,0.53,0.026255333,0.997569936,2.050573678,4.092677404,0.146052975,0.132691399,0,0.322580645,0.011823987,0.998527425
"1:487611-487644",9,3.77778,5.882352941,19,13.11764706,0.53,0.054151625,1,0.969345444,0.224907325,0.500400697,0.372739268,0.251491901,0.470307156,0.204079926,0.998805408
"1:489841-489850",1,10,0,17,17,0.54,0.026583525,0.99982468,0.695873258,5.526026903,0.032537619,0.035391658,0,0.180645161,0.002353366,0.696433964
"1:490151-490175",2,12.5,0,14,14,0.54,0.009189367,0.987091752,1.151865567,9.560275068,0.802566296,0.72309875,0.40154321,0.8,0.291045553,0.995710073
"1:492099-492122",2,12,0,18,18,0.55,0.012143092,0.998089701,0.784353098,7.302487285,0.561227723,0.590170181,0.404644852,0.724731183,0.061825777,0.974863269
"1:492754-492771",2,9,0,17,17,0.56,0.069248441,0.99899859,0.771908966,11.36053482,0.494055019,0.444234742,0.261904762,0.530300039,0.023161547,0.996548067
"1:494196-494205",1,10,0,10,10,0.52,0.020347883,0.999822446,1.23843423,5.318069535,0.124079288,0.079285244,0,0.335426211,0.011859489,0.99953057
"1:494253-494263",1,11,0,14,14,0.54,0.008204792,0.999209133,1.722434144,8.860039158,0.508970408,0.435991041,0.232258065,0.518094642,0.106312538,0.999999922
"1:500227-500239",1,13,0,23,23,0.57,0.0078766,0.999818062,1.955830523,11.88536269,0.199368486,0.211631777,0.02298579,0.47311828,0.03384164,0.999803947
"1:502142-502165",3,8,0,22,22,0.56,0.098785691,0.999667797,0.389571629,2.530130866,0.329221772,0.268365961,0.115332429,0.42018018,0.031336314,0.999372362
"1:504096-504106",1,11,0,27,27,0.57,0.007548408,0.999027778,1.591065294,11.59081889,0.058004155,0.033792742,0,0.14564229,0.001234119,0.887498275
"1:504390-504409",2,10,0,19,19,0.55,0.021332458,0.99102951,1.231996055,7.755526039,0.660843064,0.662753868,0.584259259,0.707526882,0.10641953,0.828899717
"1:504464-504511",8,6,0,16,16,0.55,0.089268133,0.990940594,0.812954952,0.579079647,0.615663335,0.605254137,0.449048488,0.722222222,0.100868644,0.985541363
"1:508137-508150",1,14,0,16,16,0.53,0.019363308,0.999206827,3.038254089,14.21132776,0.054334737,0.068730037,0,0.180645161,0.00279819,0.644801385
"1:508498-508539",9,4.66667,26.19047619,24,2.19047619,0.55,0.003610108,1,0.255286854,0.039717516,0.012459167,0.032634709,0,0.225806452,0.003740743,0.921764432
"1:517129-517146",1,18,0,23,23,0.57,0.090252708,0.999978355,1.912221199,8.049458474,0.048003883,0.056394592,0,0.215970962,0.002849794,0.874825732
"1:517370-517381",1,12,0,30,30,0.6,0.006563833,0.999854642,1.499325616,12.47396973,0.104323481,0.115304008,0,0.180645161,0.001834195,0.902445709
"1:526130-526143",1,14,0,23,23,0.56,0.008861175,0.997725166,2.173768788,15.90072052,0.146257807,0.096304569,0,0.225066208,0.004904079,0.998428477
"1:534708-534732",5,5,20,16,4,0.53,0.0157532,1,0.380827332,1.060233572,0.708704325,0.683264221,0.651618223,0.714848566,0.058711,0.959300789
"1:535813-535828",1,16,0,27,27,0.55,0.089268133,0.996861261,3.995352768,20.92012619,0.047368031,0.04173603,0,0.133004926,0.001113594,0.630773371
"1:537031-537045",1,15,0,12,12,0.54,0.029865441,0.998196888,3.05410453,16.30453832,0.652935668,0.575049667,0.421505376,0.659770115,0.144490789,0.999999988
"1:543241-543253",3,4.33333,30.76923077,35,4.230769231,0.35,0.0157532,0.987505835,0.116429708,0.124501858,0.16499696,0.113511529,0,0.30775118,0.0095883,0.999449005
"1:545703-545754",9,5.77778,38.46153846,24,14.46153846,0.56,0.028880866,0.999686882,0.430966442,0.11023857,0.085268103,0.079632412,0,0.2578019,0.005427482,0.979743288
"1:549644-549658",1,15,0,16,16,0.56,0.080735149,0.994766155,2.49920396,16.24937982,0.180102514,0.128891377,0,0.275140835,0.004992498,0.99959955
"1:550108-550125",2,9,0,12,12,0.55,0.0275681,0.995680054,0.512111974,4.15579792,0.107783756,0.1389081,0.012251769,0.289948454,0.005770973,0.860170726
"1:552569-552586",1,18,5.555555556,12,6.444444444,0.56,0.045946833,0.995472996,0.731227631,7.974623192,0.269880638,0.181188821,0.02247191,0.431816116,0.028290999,0.999999159
"1:556046-556078",8,4.125,3.03030303,16,12.96969697,0.55,0.004594683,0.999492252,0.352213466,0.125941647,0.126514454,0.114538147,0.037290306,0.265393877,0.003988204,0.969255024
"1:556776-556791",1,16,0,8,8,0.54,0.022973416,0.996096742,3.315503799,17.79145139,0.298842199,0.295437606,0.157559449,0.404597701,0.009769958,0.999193046
"1:557609-557630",2,11,0,18,18,0.55,0.026911716,0.994893761,0.835828699,9.934517678,0.572287802,0.557863711,0.434148797,0.667465617,0.066902418,0.988606033
"1:558746-558771",2,13,0,15,15,0.54,0.084345258,0.984043011,1.435807084,11.04300632,0.605270321,0.597202354,0.452293387,0.66783316,0.028398375,0.977507995
"1:570439-570469",2,15.5,0,12,12,0.55,0.082376108,0.980175017,0.549597684,4.031242567,0.821687256,0.801528007,0.767816092,0.836554769,0.116929614,0.960998108
"1:570624-570639",2,8,0,20,20,0.55,0.062356416,0.997759888,0.332476835,3.948629002,0.590580019,0.609834703,0.533948975,0.664615385,0.053641527,0.82687872
"1:571333-571343",1,11,0,16,16,0.55,0.043649491,0.997903226,0.781919195,8.149852123,0.207595186,0.180712766,0.006269592,0.507177033,0.055914684,0.999987023
"1:571813-571825",2,6.5,0,15,15,0.57,0.038398425,0.999044369,0.346593473,0.895753118,0.072436515,0.078108819,0,0.192118227,0.002112289,0.8393284
"1:573964-573975",1,12,0,15,15,0.55,0.070889399,0.995415048,1.428456212,10.07236863,0.052605118,0.030499612,0,0.136411297,0.000919258,0.777744101
"1:575479-575491",1,13,0,16,16,0.56,0.066622908,0.994433896,2.69369948,14.55305218,0.086427888,0.086338818,0.020618557,0.232258065,0.002843819,0.868429333
"10:1000246-1000273",3,9.33333,3.571428571,28,24.42857143,0.58,0.004266492,1,0.309178464,0.486075306,0.140826431,0.136631495,0,0.400742115,0.030312936,0.999252261
"10:1004187-1004202",3,5.33333,0,23,23,0.54,0.033803741,1,0.289690739,0.710065484,0.040609211,0.069888078,0,0.272839506,0.005504417,0.952006315
"10:1005541-1005557",3,5.66667,29.41176471,15,14.41176471,0.55,0.002297342,0.999799342,0.284157112,2.489101736,0.18765024,0.213740393,0.072839506,0.508045977,0.096085517,0.995995889
"10:1005556-1005573",3,6,0,18,18,0.49,0.000984575,0.999954008,0.313997667,2.54172258,0.094008005,0.101028348,0,0.228484848,0.004895762,0.887596067
"10:1005608-1005637",3,10,0,20,20,0.56,0.004594683,0.999973623,0.442263492,1.963697533,0.562821062,0.489349687,0.119444444,0.773850397,0.169002334,0.999995649
"10:1005685-1005710",3,8.66667,0,19,19,0.54,0.002297342,0.999993421,0.3620639,1.569561383,0.535049835,0.410921177,0.12688172,0.573436439,0.06400563,0.999993786
